Name,Genre,Publisher,Year,Global_Sales,Decade,FranchiseTag
ace attorney 6,adventure,capcom,2016,0.27,2010,1
ace attorney investigations 2,adventure,capcom,2011,0.26,2010,1
ace attorney investigations miles edgeworth,adventure,capcom,2009,0.76,2000,0
ace combat 04 shattered skies,simulation,sony computer entertainment europe,2001,3.17,2000,0
ace combat 2,simulation,sony computer entertainment,1997,0.89,1990,1
ace combat 3 electrosphere,simulation,sony computer entertainment,1999,0.83,1990,1
ace combat 5 the unsung war,simulation,sony computer entertainment europe,2004,1.71,2000,1
ace combat 6 fires of liberation,simulation,atari,2007,1.02,2000,1
ace combat assault horizon,action,namco bandai games,2011,1.23,2010,0
ace combat assault horizon legacy,simulation,namco bandai games,2011,0.24,2010,0
ace combat joint assault,simulation,namco bandai games,2010,0.29,2010,0
ace combat x skies of deception,simulation,namco bandai games,2006,0.99,2000,0
ace combat zero the belkan war,simulation,namco bandai games,2006,0.51,2000,0
achtung panzer kharkov 1943,strategy,mamba games,2010,0.02,2010,0
act of aggression,strategy,focus home interactive,2015,0.01,2010,0
action bass,action,taketwo interactive,2000,1.14,2000,0
action force,action,cpg products,1982,0.54,1980,0
active health with carol vorderman,sports,nintendo,2009,0.19,2000,0
active life explorer,sports,namco bandai games,2010,0.15,2010,0
active life extreme challenge,sports,namco bandai games,2009,0.48,2000,0
active life magical carnival,misc,namco bandai games,2011,0.05,2010,0
active life outdoor challenge,sports,atari,2008,1.55,2000,0
activision anthology,misc,activision,2002,0.55,2000,0
activision hits remixed,misc,activision,2006,0.06,2000,0
actua tennis,sports,gremlin interactive ltd,1997,0.13,1990,0
adidas power soccer,sports,psygnosis,1996,0.04,1990,0
adidas power soccer 98,sports,psygnosis,1998,0.02,1990,0
adrenalin misfits,racing,konami digital entertainment,2010,0.14,2010,0
advance guardian heroes,roleplaying,ubisoft,2004,0.04,2000,0
advance wars,strategy,nintendo,2001,0.7,2000,0
advance wars 2 black hole rising,strategy,nintendo,2003,0.65,2000,1
advance wars dual strike,strategy,nintendo,2005,0.4,2000,0
advent rising,action,thq,2005,0.13,2000,0
adventure island,platform,hudson soft,1986,1.05,1980,0
adventure time explore the dungeon because i dont know,action,d3publisher,2013,0.30000000000000004,2010,0
adventure time finn  jake investigations,action,little orbit,2015,0.45,2010,0
adventure time the secret of the nameless,adventure,little orbit,2014,0.03,2010,0
adventure time the secret of the nameless kingdom,action,little orbit,2014,0.16999999999999998,2010,0
adventures of lolo,puzzle,hal laboratory,1989,0.06,1980,0
adventures of tron,action,mattel interactive,1981,0.67,1980,0
adventures to go,roleplaying,zushi games,2008,0.13,2000,0
aedis eclipse generation of chaos,roleplaying,idea factory,2006,0.02,2000,0
aegis of earth protonovus assault,action,pqube,2016,0.09,2010,0
aeon flux,action,thq,2005,0.05,2000,0
aero elite combat academy,simulation,sega,2002,0.07,2000,0
aero gauge,racing,ascii entertainment,1997,0.07,1990,0
aerofighters assault,action,video system,1997,0.19,1990,0
afrika,adventure,unknown,2008,0.21,2000,0
afro samurai,action,atari,2009,0.44,2000,0
after hours athletes,sports,sony computer entertainment,2011,0.12,2010,0
again,adventure,ackkstudios,2009,0.07,2000,0
agassi tennis generation,sports,dreamcatcher interactive,2003,0.09,2000,0
agatha christie and then there were none,adventure,the adventure company,2008,0.08,2000,0
agatha christie death on the nile,adventure,big fish games,2008,0.02,2000,0
agatha christie evil under the sun,adventure,the adventure company,2008,0.09,2000,0
agatha christie peril at end house,adventure,jowood productions,2009,0.01,2000,0
agatha christie the abc murders,adventure,jowood productions,2009,0.12000000000000001,2000,0
agatha christies the abc murders,adventure,microids,2016,0.02,2010,0
age of conan rise of the godslayer,roleplaying,funcom,2010,0.03,2010,0
age of empires collectors edition,strategy,ubisoft,2000,0.14,2000,0
age of empires ii the age of kings,strategy,microsoft game studios,1999,0.1,1990,1
age of empires iii,strategy,microsoft game studios,2005,0.39,2000,1
age of empires iii complete collection,strategy,microsoft game studios,2009,0.17,2000,1
age of empires iii gold edition,strategy,microsoft game studios,2007,0.03,2000,1
age of empires iii the asian dynasties,strategy,microsoft game studios,2007,0.07,2000,1
age of empires mythologies,strategy,thq,2008,0.22,2000,0
age of empires online,strategy,microsoft game studios,2011,0.06,2010,0
age of empires the age of kings,strategy,thq,2006,0.23,2000,0
age of mythology,strategy,microsoft game studios,2002,0.09,2000,0
age of mythology the titans,strategy,microsoft game studios,2003,0.04,2000,0
aggressive inline,sports,acclaim entertainment,2002,0.47,2000,0
agile warrior f111x,simulation,virgin interactive,1995,0.14,1990,0
aibou ds,adventure,tecmo koei,2009,0.08,2000,0
aidyn chronicles the first mage,roleplaying,thq,2001,0.1,2000,0
aikatsu 2nin no my princess,action,namco bandai games,2013,0.26,2010,0
aikatsu 365 idol days,adventure,namco bandai games,2014,0.13,2010,0
aikatsu cinderella lesson,roleplaying,namco bandai games,2012,0.2,2010,0
aikatsu my no1 stage,misc,namco bandai games,2015,0.07,2010,0
ailu de puzzle,action,capcom,2012,0.04,2010,0
air,adventure,prototype,2007,0.02,2000,0
air combat,simulation,sony computer entertainment,1995,1.83,1990,0
air conflicts aces of world war ii,simulation,graffiti,2009,0.05,2000,1
air conflicts secret wars,simulation,bitcomposer games,2011,0.3,2010,0
air raid,action,menavision,1981,0.77,1980,0
air traffic chaos,simulation,ertain,2007,0.05,2000,0
airblade,sports,sony computer entertainment,2001,0.23,2000,0
airborne troops countdown to dday,shooter,playlogic game factory,2005,0.12,2000,0
airforce delta storm,shooter,konami digital entertainment,2001,0.19999999999999998,2000,0
airforce delta strike,simulation,konami digital entertainment,2004,0.11,2000,0
airline tycoon,simulation,interplay,2000,0.02,2000,0
airline tycoon 2,simulation,kalypso media,2011,0.05,2010,1
airlock,action,data age,1981,0.39,1980,0
airport simulator,simulation,unknown,2011,0.02,2010,0
airship q,platform,cygames,2015,0.03,2010,0
akagawa jirou mystery yasoukyoku  hon ni manekareta satsujin,adventure,marvelous interactive,2008,0.06,2000,0
akai ito ds,adventure,alchemist,2008,0.02,2000,0
akai katana shin,shooter,cave,2011,0.06,2010,0
akane iro ni somaru saka parallel,adventure,gn software,2008,0.03,2000,0
akatsuki no amaneka to aoi kyojin,strategy,cyberfront,2010,0.01,2010,0
akatsuki no goei trinity,adventure,5pb,2012,0.02,2010,0
akb1149 love election,adventure,namco bandai games,2012,0.38,2010,0
akb148 idol to guam de koishitara,misc,namco bandai games,2011,0.4,2010,0
akb148 idol to koishitara,misc,namco bandai games,2010,0.41,2010,0
akb48me,action,unknown,2012,0.11,2010,0
akibas trip,adventure,acquire,2011,0.14,2010,0
akibas trip plus,adventure,acquire,2012,0.08,2010,0
akibas trip undead  undressed,action,nippon ichi software,2013,0.43,2010,0
akko ni omakase brain shock,misc,taito,2006,0.04,2000,0
akuji the heartless,platform,eidos interactive,1998,0.12,1990,0
aladdin magic racer,racing,big ben interactive,2011,0.01,2010,0
alan wake,action,microsoft game studios,2010,1.4200000000000002,2010,0
alexi lalas international soccer,sports,taketwo interactive,1998,0.07,1990,0
alfa romeo racing italiano,racing,black bean games,2005,0.01,2000,0
alias,action,acclaim entertainment,2004,0.16,2000,0
alias carnival sacrament,adventure,dramatic create,2015,0.03,2010,0
alice in wonderland,adventure,disney interactive studios,2010,1.03,2010,0
alice madness returns,adventure,electronic arts,2011,1.22,2010,0
alien,action,20th century fox video games,1981,0.79,1980,0
alien breed trilogy,shooter,mastertronic,2011,0.03,2010,0
alien hominid,shooter,zoo digital publishing,2004,0.19,2000,0
alien isolation,shooter,sega,2014,2.4499999999999997,2010,0
alien monster bowling league,sports,destineer,2009,0.09,2000,0
alien resurrection,shooter,fox interactive,2000,0.16,2000,0
alien syndrome,roleplaying,sega,2007,0.14,2000,0
alien trilogy,shooter,acclaim entertainment,1996,0.47,1990,0
alienators evolution continues,action,activision,2001,0.03,2000,0
aliens colonial marines,shooter,sega,2013,1.62,2010,0
aliens in the attic,action,playlogic game factory,2009,0.13,2000,0
aliens infestation,action,sega,2011,0.18,2010,0
aliens return,action,itt family games,1982,0.34,1980,0
aliens versus predator extinction,strategy,electronic arts,2003,0.27,2000,0
aliens vs predator,shooter,sega,2010,2.3000000000000003,2010,0
aliens vs predator requiem,action,vivendi games,2007,0.22,2000,0
all grown up express yourself,misc,thq,2004,0.18,2000,0
all grown up game boy advance video volume 1,misc,unknown,2004,0.24,2000,0
all japan pro wrestling featuring virtua,fighting,sega,1997,0.15,1990,0
all kamen rider rider generation,action,namco bandai games,2011,0.12,2010,0
all kamen rider rider generation 2,action,namco bandai games,2012,0.16,2010,1
all points bulletin,roleplaying,electronic arts,2010,0.04,2010,0
all star cheer squad,sports,thq,2008,1.08,2000,0
all star cheer squad 2,sports,thq,2009,0.13,2000,1
all star karate,action,thq,2010,0.23,2010,0
all star prowrestling,fighting,squaresoft,2000,0.2,2000,0
all star tennis 99,sports,ubisoft,1999,0.05,1990,0
alleyway,puzzle,nintendo,1989,1.94,1980,0
allied general,strategy,ssi,1996,0.19,1990,0
allpro football 2k8,sports,taketwo interactive,2007,0.41000000000000003,2000,0
allstar baseball 2000,sports,acclaim entertainment,1999,0.39,1990,0
allstar baseball 2001,sports,acclaim entertainment,2000,0.23,2000,0
allstar baseball 2002,sports,acclaim entertainment,2001,0.78,2000,0
allstar baseball 2003,sports,acclaim entertainment,2002,1.33,2000,0
allstar baseball 2004,sports,acclaim entertainment,2003,0.7,2000,0
allstar baseball 99,sports,acclaim entertainment,1998,0.48,1990,0
alone in the dark,adventure,atari,2008,0.74,2000,0
alone in the dark inferno,adventure,atari,2008,0.14,2000,0
alone in the dark oneeyed jacks revenge,adventure,infogrames,1996,0.31,1990,0
alpha and omega,action,unknown,2010,0.07,2010,0
alpha protocol,roleplaying,sega,2010,0.87,2010,0
alter echo,shooter,thq,2003,0.18,2000,0
alter ego,simulation,activision,1985,0.03,1980,0
altered beast guardian of the realms,action,thq,2002,0.09,2000,0
alundra,roleplaying,psygnosis,1997,0.23,1990,0
alundra 2 a new legend begins,roleplaying,activision,1999,0.27,1990,1
alvin and the chipmunks,misc,brash entertainment,2007,0.27,2000,0
alvin and the chipmunks chipwrecked,misc,505 games,2011,0.31,2010,0
alvin and the chipmunks the squeakquel,misc,majesco entertainment,2009,0.4,2000,0
amagami,adventure,kadokawa shoten,2011,0.32,2010,0
amagoushi no yakata,adventure,nippon ichi software,2007,0.02,2000,0
amatsumi sora ni kumo no hatate ni,adventure,prototype,2015,0.02,2010,0
amazing adventures the forgotten ruins,adventure,popcap games,2008,0.24,2000,0
amazing island,strategy,sega,2004,0.06,2000,0
america oudan ultraquiz,misc,victor interactive,1995,0.02,1990,0
american bass challenge,sports,starfish,2001,0.05,2000,0
american chopper,racing,zoo digital publishing,2004,0.57,2000,0
american chopper 2 full throttle,racing,zoo digital publishing,2005,0.28,2000,1
american girl julie finds a way,adventure,thq,2007,0.11,2000,0
american girl kit mystery challenge,adventure,thq,2008,0.46,2000,0
american idol,misc,codemasters,2003,0.77,2000,0
americas army rise of a soldier,shooter,ubisoft,2005,0.25,2000,0
americas army true soldiers,shooter,ubisoft,2007,0.08,2000,0
americas next top model,action,eidos interactive,2008,0.18,2000,0
americas test kitchen lets get cooking,simulation,nintendo,2010,0.27,2010,0
amf bowling 2004,sports,mud duck productions,2003,0.3,2000,0
amf bowling pinbusters,sports,bethesda softworks,2007,0.98,2000,0
amf bowling world lanes,sports,bethesda softworks,2008,0.36,2000,0
amf xtreme bowling,sports,mastertronic,2006,0.02,2000,0
amnesia,adventure,idea factory,2011,0.04,2010,0
amnesia crowd,misc,idea factory,2013,0.05,2010,0
amnesia later,misc,idea factory,2012,0.060000000000000005,2010,0
amnesia world,adventure,idea factory,2014,0.03,2010,0
amped 2,sports,microsoft game studios,2003,0.25,2000,1
amped 3,sports,taketwo interactive,2005,0.16,2000,1
amped freestyle snowboarding,sports,microsoft game studios,2001,0.82,2000,0
amplitude,misc,sony computer entertainment,2003,0.18,2000,0
an american tail fievels gold rush,platform,conspiracy entertainment,2002,0.03,2000,0
anarchy reigns,action,sega,2012,0.38,2010,0
and1 streetball,action,ubisoft,2006,0.34,2000,0
andretti racing,racing,electronic arts,1996,0.77,1990,0
angel blade neo tokyo guardians,roleplaying,on demand,1997,0.21,1990,0
angelique duet,strategy,tecmo koei,1998,0.04,1990,0
angelique maren no rokukishi,adventure,idea factory,2011,0.03,2010,0
angelique retour,action,tecmo koei,2015,0.02,2010,0
angelique trois,adventure,tecmo koei,2000,0.06,2000,0
anglers club ultimate bass fishing 3d,sports,d3publisher,2011,0.03,2010,0
angry birds,puzzle,focus home interactive,2011,0.24,2010,0
angry birds rio,puzzle,focus home interactive,2011,0.09,2010,0
angry birds star wars,strategy,activision,2013,1.9,2010,0
angry birds trilogy,action,activision,2012,1.06,2010,0
anima  gate of memories,action,avanquest,2016,0.02,2010,0
animal crossing,simulation,nintendo,2001,3.15,2000,0
animal crossing amiibo festival,misc,nintendo,2015,0.42,2010,0
animal crossing city folk,simulation,nintendo,2008,4.68,2000,0
animal crossing happy home designer,simulation,nintendo,2015,2.98,2010,0
animal crossing new leaf,simulation,nintendo,2012,9.09,2010,0
animal crossing wild world,simulation,nintendo,2005,12.27,2000,0
animal genius,puzzle,ubisoft,2007,0.12,2000,0
animal kingdom wildlife expedition,adventure,natsume,2009,0.08,2000,0
animal paradise,simulation,empire interactive,2007,0.25,2000,0
animal planet emergency vets,simulation,activision,2009,0.08,2000,0
animal planet vet collection,simulation,activision,2010,0.05,2010,0
animal planet vet life,simulation,activision,2009,0.21000000000000002,2000,0
animaniacs ten pin alley,sports,asc games,1998,0.66,1990,0
animaniacs the great edgar hunt,platform,ignition entertainment,2005,0.03,2000,0
animates,simulation,lexicon entertainment,2007,0.03,2000,0
animorphs shattered reality,action,infogrames,2000,0.06,2000,0
anno 1701 dawn of discovery,simulation,touchstone,2007,0.14,2000,0
anno 2070,strategy,ubisoft,2011,1.45,2010,0
anno 2205,strategy,ubisoft,2015,0.25,2010,0
ano hi mita hana no namae o bokutachi wa mada shiranai,action,5pb,2012,0.02,2010,0
another code r a journey into lost memories,adventure,nintendo,2009,0.06,2000,0
ansatsu kyoushitsu assassin ikusei keikaku,action,namco bandai games,2016,0.06,2010,0
ant nation,simulation,konami digital entertainment,2009,0.07,2000,0
antiphona no seikahime tenshi no gakufu opa,roleplaying,nippon ichi software,2009,0.02,2000,0
antz extreme racing,racing,empire interactive,2002,0.06,2000,0
anubis ii,platform,metro 3d,2007,0.07,2000,1
ao no exorcist genkoku no labyrinth,action,namco bandai games,2012,0.04,2010,0
ao no kanata no four rhythm,adventure,unknown,2016,0.03,2010,0
aoishiro,adventure,success,2008,0.02,2000,0
apache air assault,simulation,activision,2010,0.42000000000000004,2010,0
apassionata die galanacht der pferde,simulation,rtl,2009,0.05,2000,0
apb reloaded,roleplaying,iceberg interactive,2011,0.04,2010,0
ape escape,platform,sony computer entertainment,1999,1.68,1990,0
ape escape 2,platform,sony computer entertainment,2002,0.63,2000,1
ape escape 3,platform,sony computer entertainment,2005,0.13,2000,1
ape escape academy,misc,sony computer entertainment,2004,0.33,2000,0
ape escape academy jp sales,misc,sony computer entertainment,2004,0.14,2000,0
ape escape on the loose,platform,sony computer entertainment,2005,0.7,2000,0
ape escape pumped  primed,misc,sony computer entertainment,2004,0.08,2000,0
apex,racing,atari,2003,0.14,2000,0
apocalypse,action,activision,1998,0.45,1990,0
apollo justice ace attorney,adventure,capcom,2007,1.06,2000,0
aqua aqua,puzzle,3do,2000,0.11,2000,0
aqua panic,puzzle,neko entertainment,2009,0.02,2000,0
aqua teen hunger force zombie ninja proam,racing,midway games,2007,0.07,2000,0
aquaman battle for atlantis,action,tdk mediactive,2003,0.01,2000,0
aquanauts holiday,adventure,sony computer entertainment,1995,0.02,1990,0
aquanauts holiday kakusareta kiroku,adventure,sony computer entertainment,2008,0.04,2000,0
aquapazza aquaplus dream match,fighting,aqua plus,2012,0.1,2010,0
aquarium by ds,simulation,mercury games,2008,0.06,2000,0
ar nosurge ode to an unborn star,roleplaying,tecmo koei,2014,0.2,2010,0
ar tonelico 2 melody of metafalica,roleplaying,nippon ichi software,2007,0.18,2000,1
ar tonelico melody of elemia,roleplaying,505 games,2006,0.1,2000,0
ar tonelico qoga knell of ar ciel,roleplaying,tecmo koei,2010,0.24,2010,0
arabians lost the engagement on desert,adventure,prototype,2007,0.03,2000,0
arc rise fantasia,roleplaying,marvelous interactive,2009,0.19,2000,0
arc the lad,roleplaying,sony computer entertainment,1995,1.11,1990,0
arc the lad end of darkness,roleplaying,sony computer entertainment,2004,0.06,2000,0
arc the lad ii,roleplaying,sony computer entertainment,1996,1.05,1990,1
arc the lad iii,roleplaying,sony computer entertainment,1999,0.42,1990,1
arc the lad twilight of the spirits,roleplaying,sony computer entertainment,2003,0.36,2000,0
arcade hits frisky tom,action,hamster corporation,2002,0.28,2000,0
arcade party pak,misc,midway games,1999,0.11,1990,0
arcade shooting gallery,shooter,zoo games,2008,0.19,2000,0
arcade zone,misc,activision,2009,0.16,2000,0
arcana famiglia 2,adventure,comfort,2013,0.02,2010,1
arcana famiglia la storia della aracana famiglia,adventure,comfort,2011,0.05,2010,0
arcana famiglia vascello phantasma no majutsushi,action,comfort,2012,0.02,2010,0
arcana heart,fighting,aq interactive,2007,0.16,2000,0
arcana heart 3,fighting,pqube,2011,0.31,2010,1
arcania gothic 4,roleplaying,jowood productions,2010,0.34,2010,1
archer maclean presents pool paradise,sports,ignition entertainment,2004,0.09,2000,0
archer macleans 3d pool,misc,crave entertainment,2003,0.07,2000,0
archer macleans mercury,puzzle,ignition entertainment,2005,0.56,2000,0
arctic tale,adventure,zoo digital publishing,2007,0.19,2000,0
arctic thunder,racing,midway games,2001,0.48,2000,0
are you alice,adventure,idea factory,2011,0.02,2010,0
are you smarter than a 5th grader,misc,mindscape,2007,0.53,2000,0
are you smarter than a 5th grader back to school,misc,nintendo,2010,0.3,2010,0
are you smarter than a 5th grader game time,puzzle,thq,2009,0.63,2000,0
are you smarter than a 5th grader make the grade,misc,thq,2008,0.9400000000000001,2000,0
area 51,shooter,gt interactive,1996,1.46,1990,0
arena football,sports,electronic arts,2006,0.7100000000000001,2000,0
aria the natural tooi yume no mirage,adventure,alchemist,2006,0.02,2000,0
aria the origination aoi wakusei no el cielo,adventure,alchemist,2008,0.02,2000,0
arkanoid ds,puzzle,square enix,2007,0.06,2000,0
arma ii,shooter,505 games,2009,0.14,2000,1
arma iii,shooter,bohemia interactive,2013,0.12,2010,1
armed and dangerous,shooter,lucasarts,2003,0.13,2000,0
armor ambush,action,mattel interactive,1981,0.17,1980,0
armored core,simulation,sony computer entertainment,1997,0.41,1990,0
armored core 2,simulation,ubisoft,2000,0.79,2000,1
armored core 2 another age,simulation,metro 3d,2001,0.41,2000,1
armored core 3,simulation,metro 3d,2002,0.67,2000,1
armored core 3 portable,simulation,from software,2009,0.08,2000,1
armored core 4,simulation,505 games,2007,0.45,2000,1
armored core for answer,simulation,ubisoft,2008,0.33999999999999997,2000,0
armored core formula front extreme battle,simulation,505 games,2004,0.05,2000,0
armored core last raven,simulation,505 games,2005,0.18,2000,0
armored core last raven portable,simulation,from software,2010,0.03,2010,0
armored core master of arena,simulation,from software,1999,0.26,1990,0
armored core nexus,simulation,indie games,2004,0.26,2000,0
armored core nine breaker,simulation,505 games,2004,0.07,2000,0
armored core project phantasma,simulation,from software,1997,0.28,1990,0
armored core silent line,simulation,agetec,2003,0.31,2000,0
armored core sl silent line portable,simulation,from software,2009,0.03,2000,0
armored core v,simulation,namco bandai games,2012,0.62,2010,1
armored core verdict day,simulation,from software,2013,0.12,2010,0
armorines project swarm,shooter,acclaim entertainment,1999,0.34,1990,0
army corps of hell,action,square enix,2011,0.1,2010,0
army men 3d,action,3do,1999,1.28,1990,0
army men air attack,action,3do,1999,0.85,1990,0
army men air attack 2,action,3do,2000,0.3,2000,1
army men air combat,action,3do,2000,0.24,2000,0
army men air combat  the elite missions,shooter,3do,2003,0.01,2000,0
army men green rogue,action,3do,2001,0.2,2000,0
army men major malfunction,shooter,global star,2006,0.02,2000,0
army men rts,strategy,3do,2002,0.18,2000,0
army men sarges heroes,action,3do,1999,1.37,1990,0
army men sarges heroes 2,shooter,3do,2000,0.83,2000,1
army men sarges war,shooter,global star,2004,0.26,2000,0
army men soldiers of misfortune,shooter,zoo games,2008,0.25,2000,0
army men world war final front,action,3do,2001,0.44,2000,0
army men world war land sea air,action,3do,2000,0.3,2000,0
army men world war team assault,action,3do,2001,0.1,2000,0
army of two,shooter,electronic arts,2008,2.82,2000,0
army of two the 40th day,shooter,electronic arts,2010,2.12,2010,0
army of two the devils cartel,shooter,electronic arts,2013,0.54,2010,0
army rescue,shooter,ufo interactive,2009,0.02,2000,0
around the world in 80 days,action,playv,2010,0.21000000000000002,2010,0
arslan the warriors of legend,action,tecmo koei,2015,0.15,2010,0
art academy,misc,nintendo,2010,2.57,2010,0
art academy home studio,misc,nintendo,2015,0.01,2010,0
art academy lessons for everyone,action,nintendo,2012,0.46,2010,0
