Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,FranchiseTag,Total_Regional_Sales,Sales_Ratio
64,mario kart 64,n64,1996,racing,nintendo,5.55,1.94,2.23,0.15,9.87,1990,0,9.870000000000001,1.0
65,new super mario bros 2,3ds,2012,platform,nintendo,3.66,3.07,2.47,0.63,9.82,2010,1,9.830000000000002,1.0
66,halo 4,x360,2012,shooter,microsoft game studios,6.63,2.36,0.04,0.73,9.76,2010,1,9.76,1.0
67,final fantasy vii,ps,1997,roleplaying,sony computer entertainment,3.01,2.47,3.28,0.96,9.72,1990,0,9.719999999999999,1.0
68,call of duty ghosts,ps3,2013,shooter,activision,4.09,3.73,0.38,1.38,9.59,2010,0,9.580000000000002,1.0
69,just dance 2,wii,2010,misc,ubisoft,5.84,2.89,0.01,0.78,9.52,2010,1,9.52,1.0
70,gran turismo 2,ps,1999,racing,sony computer entertainment,3.88,3.42,1.69,0.5,9.49,1990,1,9.49,1.0
71,call of duty 4 modern warfare,x360,2007,shooter,activision,5.91,2.38,0.13,0.9,9.32,2000,1,9.32,1.0
72,donkey kong country,snes,1994,platform,nintendo,4.36,1.71,3.0,0.23,9.3,1990,0,9.3,1.0
73,minecraft,x360,2013,misc,microsoft game studios,5.58,2.83,0.02,0.77,9.2,2010,0,9.2,1.0
74,animal crossing new leaf,3ds,2012,simulation,nintendo,2.01,2.32,4.36,0.41,9.09,2010,0,9.100000000000001,1.0
75,mario party ds,ds,2007,misc,nintendo,4.46,1.88,1.98,0.7,9.02,2000,0,9.02,1.0
76,the elder scrolls v skyrim,x360,2011,roleplaying,bethesda softworks,5.03,2.86,0.1,0.85,8.84,2010,1,8.84,1.0
77,super mario kart,snes,1992,racing,nintendo,3.54,1.24,3.81,0.18,8.76,1990,0,8.77,1.0
78,fifa 16,ps4,2015,sports,electronic arts,1.11,6.06,0.06,1.26,8.49,2010,0,8.49,1.0
79,wii party,wii,2010,misc,nintendo,1.79,3.53,2.49,0.68,8.49,2010,0,8.49,1.0
80,halo 2,xb,2004,shooter,microsoft game studios,6.82,1.53,0.05,0.08,8.49,2000,1,8.48,1.0
81,mario party 8,wii,2007,misc,nintendo,3.81,2.3,1.58,0.73,8.42,2000,1,8.42,1.0
82,pokemon black 2pokemon white 2,ds,2012,roleplaying,nintendo,2.91,1.86,3.14,0.43,8.33,2010,1,8.34,1.0
83,fifa soccer 13,ps3,2012,action,electronic arts,1.06,5.05,0.13,2.01,8.24,2010,0,8.25,1.0
84,the sims 3,pc,2009,simulation,electronic arts,0.98,6.42,0.0,0.71,8.11,2000,1,8.11,1.0
85,goldeneye 007,n64,1997,shooter,nintendo,5.8,2.01,0.13,0.15,8.09,1990,0,8.09,1.0
86,mario  sonic at the olympic games,wii,2007,sports,sega,2.58,3.9,0.66,0.91,8.06,2000,0,8.05,1.0
87,final fantasy x,ps2,2001,roleplaying,sony computer entertainment,2.91,2.07,2.73,0.33,8.05,2000,0,8.040000000000001,1.0
88,final fantasy viii,ps,1999,roleplaying,squaresoft,2.28,1.72,3.63,0.23,7.86,1990,0,7.86,1.0
89,pokmon platinum version,ds,2008,roleplaying,nintendo,2.82,1.78,2.69,0.55,7.84,2000,0,7.839999999999999,1.0
90,pacman,2600,1982,puzzle,atari,7.28,0.45,0.0,0.08,7.81,1980,0,7.8100000000000005,1.0
91,grand theft auto liberty city stories,psp,2005,action,taketwo interactive,2.9,2.83,0.24,1.75,7.72,2000,0,7.720000000000001,1.0
92,super mario galaxy 2,wii,2010,platform,nintendo,3.66,2.42,0.98,0.64,7.69,2010,1,7.7,1.0
93,star wars battlefront 2015,ps4,2015,shooter,electronic arts,2.93,3.29,0.22,1.23,7.67,2010,0,7.67,1.0
94,call of duty advanced warfare,ps4,2014,shooter,activision,2.8,3.3,0.14,1.37,7.6,2010,0,7.609999999999999,1.0
95,the legend of zelda ocarina of time,n64,1998,action,nintendo,4.1,1.89,1.45,0.16,7.6,1990,0,7.6,1.0
96,crash bandicoot 2 cortex strikes back,ps,1997,platform,sony computer entertainment,3.78,2.17,1.31,0.31,7.58,1990,1,7.569999999999999,1.0
97,super mario bros 2,nes,1988,platform,nintendo,5.39,1.18,0.7,0.19,7.46,1980,1,7.46,1.0
98,super smash bros for wii u and 3ds,3ds,2014,fighting,nintendo,3.24,1.35,2.42,0.43,7.45,2010,0,7.4399999999999995,1.0
99,call of duty world at war,x360,2008,shooter,activision,4.79,1.9,0.0,0.69,7.37,2000,0,7.379999999999999,1.0
100,battlefield 3,x360,2011,shooter,electronic arts,4.46,2.13,0.06,0.69,7.34,2010,1,7.34,1.0
101,the legend of zelda twilight princess,wii,2006,action,nintendo,3.83,2.19,0.6,0.7,7.31,2000,0,7.319999999999999,1.0
102,call of duty black ops 3,xone,2015,shooter,activision,4.52,2.09,0.01,0.67,7.3,2010,1,7.289999999999999,1.0
103,just dance,wii,2009,misc,ubisoft,3.51,3.03,0.0,0.73,7.27,2000,0,7.27,1.0
104,battlefield 3,ps3,2011,shooter,electronic arts,2.85,2.93,0.35,1.1,7.23,2010,1,7.23,1.0
105,need for speed underground,ps2,2003,racing,electronic arts,3.27,2.83,0.08,1.02,7.2,2000,0,7.199999999999999,1.0
106,tekken 3,ps,1998,fighting,sony computer entertainment,3.27,2.22,1.4,0.29,7.16,1990,1,7.180000000000001,1.0
107,crash bandicoot 3 warped,ps,1998,platform,sony computer entertainment,3.68,1.75,1.42,0.28,7.13,1990,1,7.13,1.0
108,super smash bros melee,gc,2001,fighting,nintendo,4.41,1.04,1.39,0.22,7.07,2000,0,7.06,1.0
109,mario kart 8,wiiu,2014,racing,nintendo,3.13,2.07,1.27,0.49,6.96,2010,1,6.959999999999999,1.0
110,fallout 4,ps4,2015,roleplaying,bethesda softworks,2.47,3.15,0.24,1.1,6.96,2010,1,6.960000000000001,1.0
111,mario kart double dash,gc,2003,racing,nintendo,4.12,1.77,0.87,0.19,6.95,2000,0,6.950000000000001,1.0
112,just dance 4,wii,2012,misc,ubisoft,4.14,2.21,0.0,0.56,6.91,2010,1,6.91,1.0
113,fifa 14,ps3,2013,sports,electronic arts,0.78,4.32,0.07,1.73,6.9,2010,0,6.9,1.0
114,need for speed underground 2,ps2,2004,racing,electronic arts,2.71,3.02,0.08,1.09,6.9,2000,1,6.9,1.0
115,medal of honor frontline,ps2,2002,shooter,electronic arts,2.93,2.75,0.17,0.99,6.83,2000,0,6.84,1.0
116,uncharted 3 drakes deception,ps3,2011,action,sony computer entertainment,2.77,2.8,0.19,1.06,6.83,2010,1,6.82,1.0
117,crash bandicoot,ps,1996,platform,sony computer entertainment,3.23,2.35,0.94,0.3,6.82,1990,0,6.819999999999999,1.0
118,zumba fitness,wii,2010,sports,505 games,3.5,2.64,0.0,0.67,6.81,2010,0,6.8100000000000005,1.0
119,gears of war 2,x360,2008,shooter,microsoft game studios,4.15,1.92,0.06,0.64,6.76,2000,1,6.77,1.0
120,uncharted 2 among thieves,ps3,2009,action,sony computer entertainment,3.27,2.25,0.21,1.0,6.73,2000,1,6.7299999999999995,1.0
121,call of duty 4 modern warfare,ps3,2007,shooter,activision,3.1,2.3,0.28,1.04,6.72,2000,1,6.720000000000001,1.0
122,fifa 12,ps3,2011,sports,electronic arts,0.84,4.32,0.11,1.42,6.69,2010,0,6.69,1.0
123,big brain academy,ds,2005,misc,nintendo,1.67,2.78,1.6,0.62,6.67,2000,0,6.669999999999999,1.0
124,red dead redemption,ps3,2010,action,taketwo interactive,2.79,2.61,0.17,1.03,6.6,2010,0,6.6000000000000005,1.0
125,fifa 15,ps4,2014,sports,electronic arts,0.79,4.29,0.05,1.47,6.59,2010,0,6.6,1.0
126,donkey kong country returns,wii,2010,platform,nintendo,3.25,1.84,1.03,0.47,6.59,2010,0,6.59,1.0
127,the elder scrolls v skyrim,ps3,2011,roleplaying,bethesda softworks,2.55,2.71,0.25,1.05,6.56,2010,1,6.56,1.0
128,the legend of zelda,nes,1986,action,nintendo,3.74,0.93,1.69,0.14,6.51,1980,0,6.499999999999999,1.0
129,assassins creed iii,ps3,2012,action,ubisoft,2.64,2.56,0.16,1.14,6.5,2010,1,6.5,1.0
130,halo combat evolved,xb,2001,shooter,microsoft game studios,4.98,1.3,0.08,0.07,6.43,2000,0,6.430000000000001,1.0
131,pokmon emerald version,gba,2004,roleplaying,nintendo,2.57,1.58,2.06,0.21,6.41,2000,0,6.420000000000001,1.0
132,kingdom hearts,ps2,2002,roleplaying,sony computer entertainment,3.64,1.2,1.49,0.07,6.4,2000,0,6.4,1.0
133,pokmon crystal version,gb,2000,roleplaying,nintendo,2.55,1.56,1.29,0.99,6.39,2000,0,6.39,1.0
134,halo 3 odst,x360,2009,shooter,microsoft game studios,4.34,1.35,0.06,0.61,6.36,2000,1,6.359999999999999,1.0
135,red dead redemption,x360,2010,action,taketwo interactive,3.7,1.97,0.09,0.57,6.34,2010,0,6.33,1.0
136,super mario sunshine,gc,2002,platform,nintendo,4.01,1.26,0.87,0.17,6.31,2000,0,6.31,1.0
137,street fighter ii the world warrior,snes,1992,fighting,capcom,2.47,0.83,2.87,0.12,6.3,1990,1,6.29,1.0
138,world of warcraft,pc,2004,roleplaying,activision,0.07,6.21,0.0,0.0,6.28,2000,0,6.28,1.0
139,driver,ps,1999,action,gt interactive,3.11,2.8,0.02,0.33,6.27,1990,0,6.26,1.0
140,kinect sports,x360,2010,sports,microsoft game studios,3.92,1.78,0.03,0.51,6.24,2010,0,6.24,1.0
141,gears of war 3,x360,2011,shooter,microsoft game studios,4.05,1.62,0.07,0.49,6.24,2010,1,6.23,1.0
142,gears of war,x360,2006,shooter,microsoft game studios,3.54,1.9,0.07,0.6,6.11,2000,0,6.109999999999999,1.0
143,metal gear solid 2 sons of liberty,ps2,2001,action,konami digital entertainment,2.45,2.01,0.87,0.72,6.05,2000,1,6.05,1.0
144,sonic the hedgehog 2,gen,1992,platform,sega,4.47,1.2,0.16,0.19,6.03,1990,1,6.0200000000000005,1.0
145,metal gear solid 4 guns of the patriots,ps3,2008,action,konami digital entertainment,2.63,1.74,0.83,0.83,6.03,2000,1,6.03,1.0
146,metal gear solid,ps,1998,action,konami digital entertainment,3.18,1.83,0.78,0.24,6.03,1990,0,6.03,1.0
147,the last of us,ps3,2013,action,sony computer entertainment europe,2.41,2.28,0.28,1.01,5.99,2010,0,5.9799999999999995,1.0
148,final fantasy xii,ps2,2006,roleplaying,square enix,1.88,0.0,2.33,1.74,5.95,2000,0,5.95,1.0
149,littlebigplanet,ps3,2008,platform,sony computer entertainment,2.8,2.05,0.17,0.9,5.92,2000,0,5.92,1.0
150,dragon quest ix sentinels of the starry skies,ds,2009,roleplaying,nintendo,0.66,0.69,4.35,0.15,5.84,2000,0,5.85,1.0
151,lego star wars the complete saga,wii,2007,action,lucasarts,3.66,1.63,0.0,0.53,5.83,2000,0,5.82,1.0
152,resident evil 2,ps,1998,action,virgin interactive,1.88,1.47,2.02,0.45,5.82,1990,1,5.819999999999999,1.0
153,tekken 2,ps,1996,fighting,sony computer entertainment,2.26,1.89,1.36,0.23,5.74,1990,1,5.74,1.0
154,cooking mama,ds,2006,simulation,505 games,3.13,1.94,0.07,0.58,5.72,2000,0,5.720000000000001,1.0
155,destiny,ps4,2014,shooter,activision,2.49,2.05,0.16,0.96,5.65,2010,0,5.66,1.0
156,tetris,nes,1988,puzzle,nintendo,2.97,0.69,1.81,0.11,5.58,1980,0,5.580000000000001,1.0
157,assassins creed ii,ps3,2009,action,ubisoft,2.54,1.95,0.21,0.87,5.57,2000,1,5.57,1.0
158,super smash bros,n64,1999,fighting,nintendo,2.95,0.6,1.97,0.04,5.55,1990,0,5.5600000000000005,1.0
159,assassins creed,x360,2007,adventure,ubisoft,3.28,1.65,0.07,0.55,5.55,2000,0,5.55,1.0
160,batman arkham city,ps3,2011,action,warner bros interactive entertainment,2.7,1.91,0.11,0.8,5.53,2010,0,5.5200000000000005,1.0
161,forza motorsport 3,x360,2009,racing,microsoft game studios,2.99,1.92,0.1,0.51,5.51,2000,1,5.52,1.0
162,monster hunter freedom unite,psp,2008,roleplaying,capcom,0.47,0.57,4.13,0.34,5.5,2000,0,5.51,1.0
163,super mario advance,gba,2001,platform,nintendo,3.14,1.24,0.91,0.2,5.49,2000,0,5.49,1.0
164,mario kart super circuit,gba,2001,racing,nintendo,2.62,1.64,0.99,0.23,5.47,2000,0,5.48,1.0
165,super mario world,gba,2001,platform,nintendo,3.21,1.11,0.95,0.2,5.46,2000,0,5.470000000000001,1.0
166,pokemon stadium,n64,1999,strategy,nintendo,3.18,1.24,0.94,0.09,5.45,1990,0,5.449999999999999,1.0
167,call of duty world at war,ps3,2008,shooter,activision,2.72,1.87,0.0,0.84,5.43,2000,0,5.43,1.0
168,crash bandicoot the wrath of cortex,ps2,2001,platform,universal interactive,2.07,2.29,0.24,0.82,5.42,2000,0,5.42,1.0
169,minecraft,ps3,2014,misc,sony computer entertainment,1.97,2.51,0.0,0.94,5.42,2010,0,5.42,1.0
170,final fantasy xiii,ps3,2009,roleplaying,square enix,1.74,1.24,1.87,0.52,5.36,2000,0,5.369999999999999,1.0
171,dr mario,gb,1989,puzzle,nintendo,2.18,0.96,2.0,0.2,5.34,1980,0,5.340000000000001,1.0
172,pokemon pinball,gb,1999,misc,nintendo,3.02,1.12,1.01,0.16,5.31,1990,0,5.3100000000000005,1.0
173,assassins creed iii,x360,2012,action,ubisoft,3.13,1.71,0.03,0.44,5.3,2010,1,5.3100000000000005,1.0
174,final fantasy ix,ps,2000,roleplaying,squaresoft,1.62,0.77,2.78,0.14,5.3,2000,0,5.31,1.0
175,final fantasy x2,ps2,2003,roleplaying,electronic arts,1.92,1.08,2.11,0.17,5.29,2000,0,5.279999999999999,1.0
176,donkey kong 64,n64,1999,platform,nintendo,3.33,0.79,1.09,0.06,5.27,1990,0,5.27,1.0
177,assassins creed ii,x360,2009,action,ubisoft,3.1,1.56,0.08,0.51,5.27,2000,1,5.25,1.0
178,professor layton and the curious village,ds,2007,puzzle,nintendo,1.22,2.48,1.03,0.52,5.26,2000,0,5.25,1.0
179,tomb raider ii,ps,1997,action,eidos interactive,2.3,2.46,0.2,0.28,5.24,1990,1,5.24,1.0
181,dragon quest viii journey of the cursed king,ps2,2004,roleplaying,square enix,0.65,0.75,3.61,0.2,5.21,2000,0,5.21,1.0
182,diablo iii,pc,2012,roleplaying,activision,2.43,2.15,0.0,0.62,5.2,2010,1,5.2,1.0
183,super mario bros 3,gba,2003,platform,nintendo,2.93,1.25,0.83,0.2,5.2,2000,1,5.21,1.0
184,new super mario bros u,wiiu,2012,platform,nintendo,2.32,1.3,1.27,0.31,5.19,2010,0,5.2,1.0
185,super mario land 3 wario land,gb,1994,platform,nintendo,2.49,0.98,1.57,0.15,5.19,1990,1,5.19,1.0
186,fifa soccer 13,x360,2012,action,electronic arts,1.08,3.48,0.03,0.58,5.18,2010,0,5.170000000000001,1.0
187,the legend of zelda phantom hourglass,ds,2007,action,nintendo,1.9,1.83,0.95,0.49,5.17,2000,0,5.17,1.0
188,donkey kong country 2 diddys kong quest,snes,1995,platform,nintendo,2.1,0.74,2.2,0.11,5.15,1990,1,5.15,1.0
189,tomodachi life,3ds,2013,simulation,nintendo,0.96,2.02,1.89,0.28,5.15,2010,0,5.15,1.0
190,mario  sonic at the olympic games,ds,2008,sports,sega,1.64,2.48,0.44,0.58,5.14,2000,0,5.140000000000001,1.0
191,medal of honor rising sun,ps2,2003,shooter,electronic arts,1.98,2.23,0.13,0.8,5.13,2000,0,5.14,1.0
192,kirbys dream land,gb,1992,platform,nintendo,2.71,0.61,1.7,0.11,5.13,1990,0,5.13,1.0
193,fable iii,x360,2010,roleplaying,microsoft game studios,3.59,1.11,0.05,0.38,5.13,2010,1,5.13,1.0
194,call of duty advanced warfare,xone,2014,shooter,activision,3.21,1.53,0.01,0.38,5.13,2010,0,5.13,1.0
195,microsoft flight simulator,pc,1996,simulation,microsoft game studios,3.22,1.69,0.0,0.2,5.12,1990,0,5.11,1.0
196,guitar hero ii,ps2,2006,misc,redoctane,3.81,0.63,0.0,0.68,5.12,2000,1,5.12,1.0
197,resident evil 5,ps3,2009,action,capcom,1.96,1.43,1.08,0.65,5.11,2000,1,5.12,1.0
198,grand theft auto v,xone,2014,action,taketwo interactive,2.66,2.01,0.0,0.41,5.08,2010,1,5.08,1.0
199,grand theft auto vice city stories,psp,2006,action,taketwo interactive,1.7,2.02,0.16,1.21,5.08,2000,0,5.09,1.0
200,fifa soccer 11,ps3,2010,sports,electronic arts,0.6,3.29,0.06,1.13,5.08,2010,0,5.08,1.0
201,super mario bros,gb,1999,platform,nintendo,3.4,1.3,0.15,0.22,5.07,1990,0,5.07,1.0
202,resident evil,ps,1996,action,virgin interactive,2.05,1.16,1.11,0.73,5.05,1990,0,5.050000000000001,1.0
203,tony hawks pro skater,ps,1999,sports,activision,3.42,1.38,0.02,0.2,5.02,1990,0,5.02,1.0
204,super smash bros for wii u and 3ds,wiiu,2014,fighting,nintendo,2.59,1.06,0.8,0.57,5.02,2010,0,5.0200000000000005,1.0
205,warzone 2100,ps,1999,strategy,eidos interactive,2.79,1.89,0.0,0.33,5.01,1990,0,5.01,1.0
206,spyro the dragon,ps,1998,platform,sony computer entertainment,3.36,1.36,0.07,0.21,5.0,1990,0,5.0,1.0
207,links crossbow training,wii,2007,shooter,nintendo,3.06,1.18,0.29,0.46,5.0,2000,0,4.99,1.0
208,guitar hero iii legends of rock,ps2,2007,misc,activision,3.49,0.01,0.01,1.48,4.98,2000,1,4.99,1.0
209,fallout 3,x360,2008,roleplaying,bethesda softworks,3.39,1.03,0.09,0.44,4.96,2000,1,4.95,1.0
210,pokemon mystery dungeon explorers of timeexplorers of darkness,ds,2007,roleplaying,nintendo,1.85,1.2,1.54,0.37,4.96,2000,0,4.96,1.0
211,uncharted drakes fortune,ps3,2007,action,sony computer entertainment,2.31,1.73,0.12,0.78,4.94,2000,0,4.94,1.0
212,madden nfl 06,ps2,2005,sports,electronic arts,3.98,0.26,0.01,0.66,4.91,2000,0,4.91,1.0
213,lego star wars the complete saga,ds,2007,action,lucasarts,2.89,1.54,0.0,0.46,4.9,2000,0,4.89,1.0
214,diddy kong racing,n64,1997,racing,nintendo,2.91,0.99,0.89,0.1,4.88,1990,0,4.89,1.0
215,monster hunter freedom 3,psp,2010,roleplaying,capcom,0.0,0.0,4.87,0.0,4.87,2010,1,4.87,1.0
216,dr mario,nes,1990,puzzle,nintendo,2.62,0.6,1.52,0.1,4.85,1990,0,4.84,1.0
217,god of war iii,ps3,2010,action,sony computer entertainment,2.74,1.36,0.12,0.63,4.84,2010,1,4.8500000000000005,1.0
218,starcraft ii wings of liberty,pc,2010,strategy,activision,2.56,1.68,0.0,0.59,4.83,2010,1,4.83,1.0
219,assassins creed,ps3,2007,adventure,ubisoft,1.91,2.0,0.09,0.83,4.83,2000,0,4.83,1.0
220,fifa 15,ps3,2014,sports,electronic arts,0.57,3.14,0.04,1.07,4.82,2010,0,4.82,1.0
221,crash team racing,ps,1999,racing,sony computer entertainment,2.57,1.57,0.44,0.21,4.79,1990,0,4.79,1.0
222,fifa 17,ps4,2016,sports,electronic arts,0.28,3.75,0.06,0.69,4.77,2010,0,4.779999999999999,1.0
223,batman arkham city,x360,2011,action,warner bros interactive entertainment,2.99,1.31,0.04,0.41,4.76,2010,0,4.750000000000001,1.0
224,driver 2,ps,2000,action,atari,2.36,2.1,0.02,0.25,4.73,2000,1,4.7299999999999995,1.0
225,the simpsons hit  run,ps2,2003,racing,vivendi games,1.73,2.19,0.0,0.79,4.7,2000,0,4.71,1.0
226,tony hawks pro skater 2,ps,2000,sports,activision,3.05,1.41,0.02,0.2,4.68,2000,1,4.68,1.0
227,animal crossing city folk,wii,2008,simulation,nintendo,1.87,1.12,1.32,0.37,4.68,2000,0,4.680000000000001,1.0
